Review_ID,Customer_ID,Review_Text,Rating,Date
1,CUST101,"App features are just fine, nothing fancy.",3,2024-11-02
2,CUST102,Bad response time from helpline.,2,2024-09-28
3,CUST103,Poor response to complaints and queries.,1,2025-03-08
4,CUST104,Nothing special but does the job.,3,2024-11-03
5,CUST105,Interest rates are higher compared to competitors.,2,2025-01-30
6,CUST106,Great offers on credit cards and savings accounts.,4,2024-07-04
7,CUST107,Friendly customer service and quick responses.,4,2025-04-03
8,CUST108,Service was neither good nor bad.,3,2025-01-07
9,CUST109,Bad response time from helpline.,2,2024-05-13
10,CUST110,"Neutral experience, nothing extraordinary.",3,2024-06-01
11,CUST111,Website downtime caused major inconvenience.,1,2024-08-30
12,CUST112,Banking experience was average.,3,2024-09-29
13,CUST113,High hidden charges and slow service.,2,2025-04-02
14,CUST114,"Neutral experience, nothing extraordinary.",3,2025-01-21
15,CUST115,Website sometimes works slowly but manageable.,3,2024-09-10
16,CUST116,Website downtime caused major inconvenience.,1,2025-01-06
17,CUST117,Nothing special but does the job.,3,2025-04-08
18,CUST118,Branches are available but crowded sometimes.,3,2025-02-06
19,CUST119,ATM network is wide and accessible.,4,2025-02-17
20,CUST120,Friendly customer service and quick responses.,4,2024-11-03
21,CUST121,Service was neither good nor bad.,3,2024-09-03
22,CUST122,Website sometimes works slowly but manageable.,3,2024-10-14
23,CUST123,ATM often out of service.,1,2024-06-17
24,CUST124,Website downtime caused major inconvenience.,1,2024-08-13
25,CUST125,Excellent service and easy online transactions.,4,2024-08-11
26,CUST126,ATM often out of service.,2,2024-12-25
27,CUST127,Excellent service and easy online transactions.,5,2025-02-12
28,CUST128,Interest rates are higher compared to competitors.,2,2024-10-22
29,CUST129,Mobile app is very user-friendly and efficient.,5,2024-12-08
30,CUST130,Support was acceptable but not impressive.,3,2025-04-15
31,CUST131,Mobile app crashes frequently.,1,2025-01-10
32,CUST132,Great offers on credit cards and savings accounts.,5,2024-12-12
33,CUST133,Website sometimes works slowly but manageable.,3,2025-04-09
34,CUST134,Secure and reliable banking experience.,4,2024-07-28
35,CUST135,Great offers on credit cards and savings accounts.,5,2025-02-11
36,CUST136,Branches are available but crowded sometimes.,3,2025-03-03
37,CUST137,High hidden charges and slow service.,1,2024-07-16
38,CUST138,"Neutral experience, nothing extraordinary.",3,2025-02-14
39,CUST139,Secure and reliable banking experience.,5,2024-06-10
